 ,Area,Mean,Min,Max,%Area
426,3,255,255,255,100
427,1,255,255,255,100
428,1,255,255,255,100
429,1,255,255,255,100
430,1,255,255,255,100
431,2,255,255,255,100
432,1,255,255,255,100
433,2,255,255,255,100
434,3,255,255,255,100
435,10,255,255,255,100
436,1,255,255,255,100
437,1,255,255,255,100
438,1,255,255,255,100
439,2,255,255,255,100
440,1,255,255,255,100
441,2,255,255,255,100
442,3,255,255,255,100
443,6,255,255,255,100
444,10,255,255,255,100
445,73,255,255,255,100
446,1,255,255,255,100
447,2,255,255,255,100
448,15,255,255,255,100
449,7,255,255,255,100
450,1,255,255,255,100
451,1,255,255,255,100
452,5,255,255,255,100
453,1,255,255,255,100
454,8,255,255,255,100
455,1,255,255,255,100
456,1,255,255,255,100
457,1,255,255,255,100
458,14,255,255,255,100
459,1,255,255,255,100
460,3,255,255,255,100
461,1,255,255,255,100
462,36,255,255,255,100
463,1,255,255,255,100
464,4,255,255,255,100
465,1,255,255,255,100
466,13,255,255,255,100
467,1,255,255,255,100
468,1,255,255,255,100
469,1,255,255,255,100
470,29,255,255,255,100
471,1,255,255,255,100
472,1,255,255,255,100
473,2,255,255,255,100
474,53,255,255,255,100
475,1,255,255,255,100
476,10,255,255,255,100
477,1,255,255,255,100
478,1,255,255,255,100
479,2,255,255,255,100
480,35,255,255,255,100
481,1,255,255,255,100
482,11,255,255,255,100
483,4,255,255,255,100
484,77,255,255,255,100
485,3,255,255,255,100
486,5,255,255,255,100
487,12,255,255,255,100
488,7,255,255,255,100
489,1,255,255,255,100
490,1,255,255,255,100
491,3,255,255,255,100
492,57,255,255,255,100
493,1,255,255,255,100
494,29,255,255,255,100
495,1,255,255,255,100
496,3,255,255,255,100
497,20,255,255,255,100
498,1,255,255,255,100
499,1,255,255,255,100
500,4,255,255,255,100
501,1,255,255,255,100
502,2,255,255,255,100
503,1,255,255,255,100
504,12,255,255,255,100
505,40,255,255,255,100
506,4,255,255,255,100
507,1,255,255,255,100
508,106,255,255,255,100
509,1,255,255,255,100
510,4,255,255,255,100
511,1,255,255,255,100
512,3,255,255,255,100
513,107,255,255,255,100
514,3,255,255,255,100
515,1,255,255,255,100
516,27,255,255,255,100
517,12,255,255,255,100
518,1,255,255,255,100
519,1,255,255,255,100
520,227,255,255,255,100
521,1,255,255,255,100
522,1,255,255,255,100
523,1,255,255,255,100
524,1,255,255,255,100
525,4,255,255,255,100
526,4,255,255,255,100
527,11,255,255,255,100
528,1,255,255,255,100
529,5,255,255,255,100
530,1,255,255,255,100
531,49,255,255,255,100
532,2,255,255,255,100
533,3,255,255,255,100
534,5,255,255,255,100
535,4,255,255,255,100
536,28,255,255,255,100
537,2,255,255,255,100
538,4,255,255,255,100
539,5,255,255,255,100
540,1,255,255,255,100
541,123,255,255,255,100
542,10,255,255,255,100
543,22,255,255,255,100
544,1,255,255,255,100
545,1,255,255,255,100
546,4,255,255,255,100
547,32,255,255,255,100
548,10,255,255,255,100
549,1,255,255,255,100
550,3,255,255,255,100
551,2,255,255,255,100
552,10,255,255,255,100
553,1,255,255,255,100
554,19,255,255,255,100
555,2,255,255,255,100
556,1,255,255,255,100
557,1,255,255,255,100
558,420,255,255,255,100
559,5,255,255,255,100
560,1,255,255,255,100
561,3,255,255,255,100
562,8,255,255,255,100
563,4,255,255,255,100
564,1,255,255,255,100
565,1,255,255,255,100
566,1,255,255,255,100
567,1,255,255,255,100
568,1,255,255,255,100
569,1,255,255,255,100
570,8,255,255,255,100
571,21,255,255,255,100
572,6,255,255,255,100
573,16,255,255,255,100
574,1,255,255,255,100
575,3,255,255,255,100
576,14,255,255,255,100
577,1,255,255,255,100
578,46,255,255,255,100
579,4,255,255,255,100
580,2,255,255,255,100
581,41,255,255,255,100
582,1,255,255,255,100
583,1,255,255,255,100
584,1,255,255,255,100
585,1,255,255,255,100
586,1,255,255,255,100
587,1,255,255,255,100
588,2,255,255,255,100
589,1,255,255,255,100
590,20,255,255,255,100
591,1,255,255,255,100
592,1,255,255,255,100
593,3,255,255,255,100
594,1,255,255,255,100
595,1,255,255,255,100
596,13,255,255,255,100
597,6,255,255,255,100
598,1,255,255,255,100
599,1,255,255,255,100
600,1,255,255,255,100
601,4,255,255,255,100
602,1,255,255,255,100
603,1,255,255,255,100
604,1,255,255,255,100
605,3,255,255,255,100
606,2,255,255,255,100
607,2,255,255,255,100
608,1,255,255,255,100
609,1,255,255,255,100
610,1,255,255,255,100
611,1,255,255,255,100
612,10,255,255,255,100
613,3,255,255,255,100
614,1,255,255,255,100
615,1,255,255,255,100
616,1,255,255,255,100
617,1,255,255,255,100
618,1,255,255,255,100
619,5,255,255,255,100
620,14,255,255,255,100
621,194,255,255,255,100
622,3,255,255,255,100
623,1,255,255,255,100
624,1,255,255,255,100
625,1,255,255,255,100
626,2,255,255,255,100
627,1,255,255,255,100
628,1,255,255,255,100
629,1,255,255,255,100
630,1,255,255,255,100
631,1,255,255,255,100
632,1,255,255,255,100
633,1,255,255,255,100
634,3,255,255,255,100
635,9,255,255,255,100
636,1,255,255,255,100
637,107,255,255,255,100
638,1,255,255,255,100
639,1,255,255,255,100
640,17,255,255,255,100
641,2,255,255,255,100
642,14,255,255,255,100
643,1,255,255,255,100
644,1,255,255,255,100
645,11,255,255,255,100
646,1,255,255,255,100
647,1,255,255,255,100
648,1,255,255,255,100
649,3,255,255,255,100
650,1,255,255,255,100
651,1,255,255,255,100
652,1,255,255,255,100
653,3,255,255,255,100
654,1,255,255,255,100
655,1,255,255,255,100
656,1,255,255,255,100
657,1,255,255,255,100
658,1,255,255,255,100
659,1,255,255,255,100
660,2,255,255,255,100
661,1,255,255,255,100
662,20,255,255,255,100
663,3,255,255,255,100
664,2,255,255,255,100
665,2,255,255,255,100
666,5,255,255,255,100
667,31,255,255,255,100
668,1,255,255,255,100
669,1,255,255,255,100
670,16,255,255,255,100
671,13,255,255,255,100
672,1,255,255,255,100
673,1,255,255,255,100
674,1,255,255,255,100
675,1,255,255,255,100
676,6,255,255,255,100
677,3,255,255,255,100
678,15,255,255,255,100
679,1,255,255,255,100
680,1,255,255,255,100
681,8,255,255,255,100
682,1,255,255,255,100
683,1,255,255,255,100
684,5,255,255,255,100
685,1,255,255,255,100
686,1,255,255,255,100
687,1,255,255,255,100
688,1,255,255,255,100
689,2,255,255,255,100
690,1,255,255,255,100
691,1,255,255,255,100
692,1,255,255,255,100
693,1,255,255,255,100
694,1,255,255,255,100
695,1,255,255,255,100
696,4,255,255,255,100
697,1,255,255,255,100
698,16,255,255,255,100
699,184,255,255,255,100
700,6,255,255,255,100
701,17,255,255,255,100
702,100,255,255,255,100
703,14,255,255,255,100
704,1,255,255,255,100
705,2,255,255,255,100
706,4,255,255,255,100
707,6,255,255,255,100
708,1,255,255,255,100
709,3,255,255,255,100
710,1,255,255,255,100
711,3,255,255,255,100
712,4,255,255,255,100
713,3,255,255,255,100
714,1,255,255,255,100
715,2,255,255,255,100
716,19,255,255,255,100
717,1,255,255,255,100
718,1,255,255,255,100
719,14,255,255,255,100
720,1,255,255,255,100
721,33,255,255,255,100
722,1,255,255,255,100
723,1,255,255,255,100
724,16,255,255,255,100
725,3,255,255,255,100
726,1,255,255,255,100
727,1,255,255,255,100
728,1,255,255,255,100
729,11,255,255,255,100
730,1,255,255,255,100
731,3,255,255,255,100
732,4,255,255,255,100
733,40,255,255,255,100
734,1,255,255,255,100
735,9,255,255,255,100
736,1,255,255,255,100
737,24,255,255,255,100
738,1,255,255,255,100
739,31,255,255,255,100
740,1,255,255,255,100
741,3,255,255,255,100
742,1,255,255,255,100
743,31,255,255,255,100
744,1,255,255,255,100
745,25,255,255,255,100
746,16,255,255,255,100
747,1,255,255,255,100
748,19,255,255,255,100
749,1,255,255,255,100
750,2,255,255,255,100
751,1,255,255,255,100
752,2,255,255,255,100
753,1,255,255,255,100
754,20,255,255,255,100
755,1,255,255,255,100
756,1,255,255,255,100
757,10,255,255,255,100
758,5,255,255,255,100
759,41,255,255,255,100
760,1,255,255,255,100
761,3,255,255,255,100
762,1,255,255,255,100
763,1,255,255,255,100
764,6,255,255,255,100
765,38,255,255,255,100
766,5,255,255,255,100
767,10,255,255,255,100
768,1,255,255,255,100
769,1,255,255,255,100
770,30,255,255,255,100
771,5,255,255,255,100
772,78,255,255,255,100
773,32,255,255,255,100
774,15,255,255,255,100
775,4,255,255,255,100
776,1,255,255,255,100
777,1,255,255,255,100
778,1,255,255,255,100
779,4,255,255,255,100
780,1,255,255,255,100
781,7,255,255,255,100
782,182,255,255,255,100
783,1,255,255,255,100
784,2,255,255,255,100
785,1,255,255,255,100
786,1,255,255,255,100
787,1,255,255,255,100
788,5,255,255,255,100
789,11,255,255,255,100
790,1,255,255,255,100
791,9,255,255,255,100
792,1,255,255,255,100
793,2,255,255,255,100
794,1,255,255,255,100
795,1,255,255,255,100
796,2,255,255,255,100
797,2,255,255,255,100
798,18,255,255,255,100
799,2,255,255,255,100
800,1,255,255,255,100
801,1,255,255,255,100
802,15,255,255,255,100
803,1,255,255,255,100
804,1,255,255,255,100
805,8,255,255,255,100
806,2,255,255,255,100
807,2,255,255,255,100
808,2,255,255,255,100
809,1,255,255,255,100
810,2,255,255,255,100
811,3,255,255,255,100
812,2,255,255,255,100
813,236,255,255,255,100
814,2,255,255,255,100
815,2,255,255,255,100
816,1,255,255,255,100
817,15,255,255,255,100
818,5,255,255,255,100
819,1,255,255,255,100
820,2,255,255,255,100
821,1,255,255,255,100
822,1,255,255,255,100
